id,rh98
33,0
103,148
173,278
243,0
313,0
383,9190
453,0
523,0
593,0
663,0
733,13786
803,30588
873,17406
943,17771
1013,30879
1083,40003
1153,38498
1223,18153
1293,45112
1363,20671
1433,32478
1503,21111
1573,28436
1643,49531
1713,4894
1783,0
1853,54
1923,0
1993,5393
2063,0
2133,0
2203,0
2273,0
2343,0
2413,0
2483,0
2553,0
2623,0
2693,826
2763,1922
2833,0
2903,0
2973,67
3043,1
3113,0
3183,0
3253,0
29,0
99,13191
169,33007
239,38878
309,47290
379,37008
449,49426
519,47804
589,35905
659,20634
729,32220
799,0
869,0
939,0
1009,0
1079,0
1149,0
1219,0
1289,4
1359,0
1429,0
1499,0
1569,0
1639,0
1709,0
1779,208
1849,22358
1919,30369
1989,43217
2059,6084
2129,58
2199,0
2269,0
2339,0
2409,0
2479,9579
2549,28334
2619,34655
2689,14347
2759,7894
2829,10528
2899,0
2969,8612
3039,32012
3109,36784
3179,50768
3249,32910
25,0
95,25311
165,49363
235,59856
305,45541
375,30106
445,27796
515,38933
585,31959
655,50010
725,59164
795,19702
865,0
935,0
1005,2763
1075,10909
1145,9083
1215,913
1285,0
1355,0
1425,0
1495,13965
1565,20908
1635,0
1705,0
1775,0
1845,0
1915,0
1985,0
2055,135
2125,31409
2195,0
2265,5364
2335,0
2405,7465
2475,35624
2545,40453
2615,48974
2685,97
2755,5
2825,1755
2895,361
2965,40421
3035,27816
3105,49472
3175,43818
3245,30189
21,0
91,19687
161,39065
231,33703
301,24394
371,51533
441,42590
511,41160
581,27405
651,51822
721,37950
791,27263
861,48805
931,53030
1001,49442
1071,3757
1141,1297
1211,0
1281,16
1351,0
1421,0
1491,918
1561,26370
1631,0
1701,0
1771,193
1841,30731
1911,33429
1981,52424
2051,33643
2121,5556
2191,0
2261,0
2331,0
2401,37843
2471,42286
2541,32228
2611,49523
2681,39952
2751,39397
2821,38413
2891,40232
2961,35521
3031,33309
3101,0
3171,0
3241,0
17,0
87,0
157,10907
227,2299
297,1040
367,91
437,0
507,45
577,0
647,0
717,39101
787,24812
857,30202
927,32614
997,34911
1067,53471
1137,30785
1207,50440
1277,26968
1347,49120
1417,12105
1487,0
1557,0
1627,12430
1697,31151
1767,26198
1837,41086
1907,1199
1977,0
2047,4348
2117,52371
2187,35265
2257,36879
2327,53174
2397,42596
2467,30263
2537,44782
2607,37149
2677,28480
2747,51897
2817,44886
2887,38229
2957,49253
3027,35790
3097,30625
3167,0
3237,0
13,0
83,0
153,0
223,0
293,0
363,0
433,0
503,0
573,0
643,0
713,28142
783,32398
853,53952
923,55014
993,37050
1063,44292
1133,43819
1203,49263
1273,31980
1343,24409
1413,30317
1483,34783
1553,34201
1623,32273
1693,28626
1763,40429
1833,30459
1903,30710
1973,34179
2043,45485
2113,33845
2183,32152
2253,35095
2323,35410
2393,34536
2463,25823
2533,50888
2603,48609
2673,28113
2743,46599
2813,26725
2883,46699
2953,59707
3023,38054
3093,51472
3163,37406
3233,14164
9,0
79,0
149,0
219,0
289,0
359,0
429,3085
499,16858
569,60091
639,51794
709,39312
779,50457
849,45597
919,33819
989,35488
1059,64725
1129,63026
1199,40229
1269,53310
1339,53896
1409,45736
1479,38913
1549,34353
1619,37952
1689,46306
1759,32092
1829,31052
1899,37387
1969,30566
2039,39663
2109,47224
2179,35782
2249,45154
2319,54969
2389,48751
2459,52480
2529,52906
2599,39998
2669,45112
2739,51240
2809,36316
2879,51504
2949,64894
3019,59798
3089,49508
3159,49010
3229,51386
5,0
75,0
145,0
215,0
285,163
355,152
425,0
495,0
565,0
635,5899
705,624
775,0
845,29980
915,44600
985,61956
1055,57456
1125,48452
1195,55796
1265,49195
1335,34065
1405,47799
1475,57198
1545,76171
1615,47615
1685,50832
1755,55731
1825,50994
1895,48640
1965,66263
2035,59102
2105,66965
2175,60497
2245,73554
2315,59605
2385,57123
2455,63836
2525,49694
2595,78017
2665,72570
2735,73412
2805,64751
2875,66697
2945,65499
3015,65279
3085,56117
3155,63014
3225,72601
1,112264
71,160113
141,7738
211,6
281,0
351,10142
421,120759
491,148370
561,158730
631,189611
701,183943
771,164468
841,127889
911,0
981,0
1051,3
1121,100151
1191,156024
1261,210104
1331,186750
1401,174071
1471,157562
1541,155337
1611,170933
1681,200575
1751,202359
1821,206042
1891,195518
1961,195801
2031,216924
2101,220055
2171,206438
2241,236917
2311,219683
2381,202311
2451,223434
2521,218836
2591,209563
2661,206236
2731,218775
2801,203988
2871,206086
2941,202576
3011,198562
3081,192873
3151,201126
3221,207116
67,21
137,14543
207,0
277,0
347,5825
417,0
487,0
557,0
627,0
697,0
767,1439
837,17997
907,29575
977,14233
1047,40470
1117,34669
1187,19231
1257,28467
1327,26512
1397,44783
1467,22250
1537,24194
1607,39311
1677,15923
1747,0
1817,0
1887,0
1957,830
2027,0
2097,0
2167,0
2237,0
2307,0
2377,0
2447,0
2517,0
2587,0
2657,191
2727,0
2797,0
2867,4
2937,20
3007,579
3077,19301
3147,0
3217,5269
63,0
133,42702
203,34537
273,43964
343,43258
413,40770
483,59644
553,59889
623,22373
693,34845
763,12471
833,0
903,0
973,0
1043,0
1113,0
1183,0
1253,0
1323,0
1393,0
1463,0
1533,0
1603,0
1673,0
1743,0
1813,5468
1883,29725
1953,15847
2023,21156
2093,25057
2163,0
2233,0
2303,0
2373,0
2443,0
2513,4739
2583,25574
2653,19231
2723,24801
2793,8508
2863,0
2933,530
3003,21095
3073,32898
3143,42661
3213,38118
59,0
129,29617
199,48495
269,54543
339,28002
409,23966
479,47193
549,25805
619,46568
689,44813
759,55968
829,2055
899,0
969,0
1039,5165
1109,349
1179,0
1249,0
1319,0
1389,0
1459,0
1529,38017
1599,8737
1669,0
1739,0
1809,0
1879,0
1949,0
2019,3007
2089,17804
2159,11519
2229,0
2299,19557
2369,289
2439,27537
2509,42865
2579,46975
2649,16056
2719,10638
2789,338
2859,7640
2929,21740
2999,34644
3069,42043
3139,36046
3209,37173
55,0
125,28847
195,43508
265,30624
335,39474
405,40782
475,32057
545,35093
615,32118
685,35723
755,26848
825,42178
895,49660
965,41065
1035,43473
1105,0
1175,0
1245,0
1315,8552
1385,0
1455,0
1525,38845
1595,44
1665,0
1735,0
1805,36536
1875,46702
1945,28911
2015,19909
2085,17003
2155,0
2225,0
2295,0
2365,14706
2435,37766
2505,35375
2575,53699
2645,38514
2715,27757
2785,52391
2855,24654
2925,34655
2995,45488
3065,18869
3135,0
3205,0
51,0
121,0
191,46
261,0
331,0
401,0
471,0
541,0
611,0
681,5136
751,41619
821,21352
891,31643
961,35854
1031,52039
1101,36737
1171,41364
1241,47131
1311,40949
1381,24670
1451,16207
1521,0
1591,8859
1661,34445
1731,47418
1801,25361
1871,559
1941,0
2011,3938
2081,30300
2151,41909
2221,34646
2291,39251
2361,52320
2431,39374
2501,41664
2571,40594
2641,36761
2711,30008
2781,57874
2851,29514
2921,35647
2991,25669
3061,38762
3131,4107
3201,0
47,0
117,0
187,0
257,0
327,0
397,0
467,0
537,0
607,0
677,6192
747,26242
817,26793
887,59722
957,47393
1027,37479
1097,51721
1167,53375
1237,40080
1307,37288
1377,22028
1447,18472
1517,33209
1587,20634
1657,22904
1727,22602
1797,35222
1867,47111
1937,30885
2007,41507
2077,45223
2147,35319
2217,18319
2287,39976
2357,49605
2427,36856
2497,29017
2567,45456
2637,50253
2707,40008
2777,46475
2847,43342
2917,58825
2987,50484
3057,41669
3127,37347
3197,59616
43,0
113,0
183,0
253,0
323,0
393,238
463,33777
533,45887
603,51400
673,54381
743,39922
813,25035
883,48826
953,43346
1023,50637
1093,58583
1163,54910
1233,42186
1303,50959
1373,62321
1443,39160
1513,45700
1583,50528
1653,43313
1723,44722
1793,48211
1863,38092
1933,30079
2003,40223
2073,49840
2143,35871
2213,35435
2283,55756
2353,47950
2423,58134
2493,33842
2563,52769
2633,42047
2703,44261
2773,48361
2843,52155
2913,45633
2983,44578
3053,61058
3123,57378
3193,48375
39,0
109,0
179,0
249,0
319,3014
389,7287
459,0
529,0
599,0
669,0
739,0
809,68
879,14039
949,53366
1019,41746
1089,67708
1159,56153
1229,38339
1299,57793
1369,62030
1439,61283
1509,60518
1579,83143
1649,66263
1719,44236
1789,38162
1859,54615
1929,58198
1999,53899
2069,74834
2139,74673
2209,75769
2279,63439
2349,55168
2419,64200
2489,75940
2559,76590
2629,70981
2699,70889
2769,71049
2839,67722
2909,58447
2979,68051
3049,80788
3119,82707
3189,65949
32,0
102,22486
172,31593
242,0
312,4908
382,26948
452,0
522,0
592,0
662,0
732,3
802,0
872,20927
942,29340
1012,12221
1082,38434
1152,29317
1222,26437
1292,25316
1362,40454
1432,37915
1502,20258
1572,34829
1642,45699
1712,0
1782,0
1852,0
1922,0
1992,0
2062,0
2132,0
2202,0
2272,0
2342,0
2412,0
2482,0
2552,0
2622,1367
2692,2158
2762,0
2832,9
2902,340
2972,121
3042,1061
3112,2771
3182,8364
3252,28848
28,0
98,13510
168,40920
238,43161
308,40118
378,40066
448,43356
518,70165
588,25284
658,32672
728,27678
798,600
868,0
938,0
1008,0
1078,0
1148,0
1218,0
1288,0
1358,0
1428,0
1498,0
1568,0
1638,0
1708,0
1778,2
1848,3266
1918,1586
1988,2372
2058,10120
2128,23847
2198,0
2268,0
2338,0
2408,0
2478,14190
2548,21848
2618,14381
2688,36378
2758,34964
2828,0
2898,5286
2968,23712
3038,29941
3108,38380
3178,35650
3248,40196
24,0
94,17148
164,35628
234,44724
304,43013
374,23319
444,46163
514,31594
584,46371
654,36005
724,32587
794,43656
864,0
934,0
1004,0
1074,0
1144,2653
1214,0
1284,0
1354,0
1424,0
1494,9517
1564,39996
