id,rh98
17,0
53,0
89,27971
125,7075
161,1374
197,13688
233,15411
269,5403
305,2621
341,27789
377,8675
413,8904
449,786
485,64
521,195
557,0
593,0
629,0
665,0
701,14155
737,27413
773,2610
809,0
845,0
15,0
51,44703
87,56310
123,58955
159,45961
195,3484
231,0
267,0
303,0
339,2409
375,0
411,4543
447,18
483,23079
519,53903
555,0
591,0
627,0
663,80385
699,12674
735,11385
771,16213
807,130009
843,53447
13,10729
49,129017
85,82657
121,33275
157,17180
193,87189
229,0
265,16495
301,3000
337,0
373,505
409,23141
445,0
481,0
517,0
553,91578
589,4834
625,36625
661,105426
697,22856
733,2606
769,74098
805,162088
841,43154
11,0
47,70176
83,37770
119,63313
155,45681
191,23580
227,56301
263,55989
299,0
335,0
371,0
407,21029
443,0
479,49423
515,97805
551,9096
587,0
623,129973
659,86718
695,103874
731,120227
767,28662
803,26036
839,6179
9,783
45,74485
81,43872
117,21165
153,22356
189,63620
225,47081
261,93414
297,16093
333,115130
369,10546
405,158
441,88166
477,73611
513,228
549,60116
585,138509
621,117605
657,91845
693,36532
729,27240
765,65911
801,2436
837,0
7,0
43,0
79,0
115,0
151,0
187,59090
223,98167
259,100849
295,105634
331,85263
367,64221
403,38059
439,45814
475,6452
511,113291
547,83388
583,51751
619,11072
655,78062
691,102627
727,88506
763,82931
799,26275
835,439
5,0
41,0
77,0
113,4410
149,54091
185,46928
221,51136
257,69402
293,106254
329,100126
365,99270
401,62809
437,81613
473,83842
509,107457
545,84346
581,60772
617,48609
653,49314
689,116763
725,150870
761,58547
797,66648
833,25059
3,0
39,0
75,21
111,0
147,616
183,20576
219,67735
255,62575
291,63958
327,82374
363,114001
399,125542
435,114666
471,132698
507,106243
543,99047
579,139178
615,138483
651,145903
687,106283
723,72210
759,49194
795,52779
831,65646
1,108287
37,221
73,0
109,85945
145,175842
181,218660
217,59431
253,4181
289,74581
325,181750
361,223753
397,284578
433,181581
469,223034
505,363769
541,229687
577,198386
613,290199
649,311336
685,352147
721,375437
757,365089
793,438970
829,331744
36,0
72,24371
108,35866
144,7149
180,1714
216,30
252,59
288,72
324,149
360,9
396,3019
432,51
468,0
504,0
540,0
576,0
612,0
648,0
684,0
720,0
756,0
792,0
828,0
34,0
70,0
106,17629
142,0
178,0
214,11572
250,39539
286,36922
322,19426
358,18034
394,15744
430,8701
466,0
502,913
538,0
574,0
610,0
646,0
682,2065
718,385
754,267
790,18664
826,27975
32,57983
68,114941
