id,rh98
33,0
103,0
173,0
243,0
313,0
383,2960
453,0
523,0
593,0
663,0
733,8356
803,4373
873,168
943,484
1013,1355
1083,2826
1153,1548
1223,22532
1293,6418
1363,9
1433,48
1503,3191
1573,8655
1643,2333
1713,581
1783,0
1853,0
1923,0
1993,235
2063,0
2133,0
2203,0
2273,0
2343,0
2413,0
2483,0
2553,0
2623,0
2693,133
2763,31
2833,0
2903,0
2973,5
3043,0
3113,0
3183,0
3253,0
29,0
99,9737
169,0
239,3654
309,29870
379,29128
449,24053
519,56946
589,17930
659,0
729,996
799,0
869,0
939,0
1009,0
1079,0
1149,0
1219,0
1289,0
1359,0
1429,0
1499,0
1569,0
1639,0
1709,0
1779,176
1849,17528
1919,47276
1989,33172
2059,56
2129,0
2199,0
2269,0
2339,0
2409,0
2479,3254
2549,20
2619,1275
2689,10342
2759,5908
2829,8470
2899,0
2969,2578
3039,567
3109,3714
3179,13100
3249,34597
25,0
95,21818
165,66247
235,58313
305,35018
375,6220
445,994
515,1517
585,8595
655,57536
725,80172
795,25744
865,0
935,0
1005,3466
1075,10391
1145,13889
1215,0
1285,0
1355,0
1425,0
1495,4246
1565,56330
1635,0
1705,0
1775,0
1845,0
1915,0
1985,0
2055,140
2125,74938
2195,0
2265,709
2335,0
2405,4085
2475,38583
2545,76373
2615,39868
2685,142
2755,670
2825,401
2895,105
2965,42407
3035,47371
3105,81716
3175,51118
3245,4148
21,0
91,25154
161,16108
231,10506
301,17230
371,7986
441,15585
511,19232
581,42680
651,14068
721,5358
791,12181
861,22816
931,56769
1001,65042
1071,5894
1141,0
1211,0
1281,0
1351,0
1421,0
1491,1767
1561,33228
1631,0
1701,0
1771,191
1841,40356
1911,57269
1981,75483
2051,7628
2121,1440
2191,0
2261,0
2331,0
2401,32941
2471,41036
2541,14123
2611,4783
2681,28210
2751,94842
2821,48447
2891,55359
2961,17252
3031,8625
3101,4
3171,0
3241,0
17,0
87,0
157,10471
227,380
297,4518
367,2368
437,0
507,19
577,0
647,0
717,3444
787,15446
857,22201
927,32736
997,44053
1067,45442
1137,7050
1207,11826
1277,52239
1347,93916
1417,40428
1487,0
1557,0
1627,1787
1697,12006
1767,54877
1837,48675
1907,599
1977,0
2047,694
2117,12351
2187,9447
2257,58211
2327,85083
2397,56199
2467,50058
2537,12935
2607,15032
2677,4436
2747,13276
2817,8589
2887,11910
2957,20045
3027,6074
3097,3219
3167,0
3237,0
13,0
83,0
153,0
223,0
293,0
363,0
433,0
503,0
573,0
643,0
713,15571
783,18461
853,7935
923,1278
993,15341
1063,29419
1133,48775
1203,24933
1273,56095
1343,25629
1413,2048
1483,26130
1553,37389
1623,59738
1693,67297
1763,25846
1833,3367
1903,6211
1973,26706
2043,68707
2113,31149
2183,42984
2253,19990
2323,6337
2393,888
2463,2245
2533,19893
2603,87127
2673,66443
2743,16494
2813,6988
2883,13691
2953,74593
3023,9392
3093,9031
3163,5650
3233,1052
9,0
79,0
149,0
219,0
289,0
359,0
429,367
499,5429
569,20984
639,36575
709,30836
779,29668
849,12002
919,3433
989,23991
1059,33349
1129,53912
1199,104346
1269,35849
1339,14014
1409,4247
1479,18798
1549,32260
1619,69871
1689,46533
1759,32686
1829,18659
1899,9483
1969,26954
2039,77444
2109,93749
2179,12974
2249,7471
2319,12020
2389,9552
2459,12587
2529,12929
2599,30210
2669,29935
2739,38505
2809,13760
2879,22342
2949,14730
3019,23692
3089,24715
3159,23575
3229,4483
5,0
75,0
145,0
215,0
285,51
355,15
425,0
495,0
565,0
635,2060
705,7
775,0
845,9844
915,42716
985,25205
1055,20439
1125,5010
1195,13240
1265,52426
1335,79896
1405,88924
1475,38961
1545,47818
1615,5186
1685,12918
1755,60204
1825,69304
1895,80088
1965,45883
2035,16733
2105,14176
2175,14987
2245,33141
2315,69179
2385,122598
2455,87402
2525,35769
2595,16967
2665,19247
2735,40179
2805,52037
2875,24850
2945,13255
3015,6696
3085,6269
3155,15989
3225,27979
1,72556
71,49399
141,5547
211,0
281,0
351,2432
421,53964
491,105015
561,106069
631,70654
701,71964
771,68283
841,39188
911,9
981,0
1051,0
1121,14369
1191,46719
1261,81475
1331,80457
1401,52277
1471,56721
1541,132016
1611,131019
1681,140540
1751,41750
1821,100408
1891,157324
1961,122985
2031,148517
2101,90237
2171,56117
2241,58805
2311,78208
2381,83130
2451,81568
2521,138912
2591,91799
2661,96582
2731,165297
2801,97343
2871,121306
2941,123295
3011,125019
3081,144411
3151,146292
3221,99160
67,0
137,0
207,0
277,0
347,5872
417,0
487,0
557,0
627,0
697,0
767,1133
837,4421
907,923
977,2678
1047,11201
1117,13765
1187,14524
1257,7378
1327,2245
1397,0
1467,2495
1537,6703
1607,17117
1677,1335
1747,0
1817,0
1887,0
1957,156
2027,0
2097,0
2167,0
2237,0
2307,0
2377,0
2447,0
2517,0
2587,0
2657,150
2727,0
2797,0
2867,0
2937,7
3007,1307
3077,22915
3147,0
3217,5729
63,0
133,27247
203,370
273,20540
343,43493
413,69656
483,42279
553,29690
623,17285
693,1751
763,761
833,0
903,0
973,0
1043,0
1113,0
1183,0
1253,0
1323,0
1393,0
1463,0
1533,0
1603,0
1673,0
1743,0
1813,1547
1883,31955
1953,35115
2023,19924
2093,0
2163,0
2233,0
2303,0
