id,rh98
17,0
53,138
89,104254
125,18553
161,5689
197,134974
233,96200
269,126167
305,216408
341,166916
377,129259
413,185804
449,23464
485,11211
521,18012
557,0
593,0
629,0
665,0
701,26840
737,39696
773,9143
809,0
845,0
15,0
51,117779
87,167270
123,289320
159,136122
195,23989
231,0
267,0
303,0
339,3035
375,0
411,25841
447,68
483,98570
519,177422
555,0
591,0
627,0
663,96211
699,37833
735,16138
771,30786
807,169127
843,176124
13,32671
49,261884
85,242934
121,174746
157,196797
193,228076
229,1
265,46182
301,27105
337,0
373,437
409,91858
445,0
481,0
517,0
553,231729
589,10599
625,56938
661,176995
697,28140
733,8775
769,107645
805,192608
841,98895
11,0
47,131369
83,224571
119,207919
155,206209
191,152361
227,229113
263,71127
299,4984
335,240
371,0
407,39235
443,0
479,180307
515,165261
551,17851
587,0
623,178057
659,110567
695,171985
731,211145
767,148396
803,58004
839,12281
9,5986
45,138186
81,91990
117,56810
153,60170
189,135103
225,176897
261,190516
297,82076
333,251960
369,33942
405,248
441,183696
477,129461
513,709
549,121544
585,145575
621,133760
657,177743
693,144073
729,133945
765,157519
801,34960
837,0
7,0
43,0
79,0
115,0
151,0
187,189117
223,167906
259,173872
295,198803
331,139856
367,119277
403,258402
439,223691
475,55865
511,157333
547,180659
583,160325
619,112492
655,166335
691,217184
727,120830
763,173585
799,216594
835,9390
5,0
41,0
77,0
113,26564
149,157946
185,240526
221,174999
257,214547
293,268763
329,185355
365,170279
401,147547
437,210047
473,166784
509,152671
545,265477
581,269095
617,197396
653,209041
689,213096
725,195476
761,209137
797,216877
833,185054
3,0
39,0
75,81
111,0
147,8333
183,89425
219,260789
255,258462
291,272992
327,237394
363,293805
399,250327
435,265983
471,227353
507,228218
543,253499
579,314281
615,318238
651,334715
687,266733
723,252933
759,240632
795,196912
831,195095
1,294672
37,3426
73,0
109,256007
145,572682
181,621129
217,304596
253,35257
289,508435
325,620546
361,557841
397,543218
433,542355
469,620854
505,596112
541,655857
577,670493
613,639539
649,726065
685,763391
721,674174
757,666536
793,641875
829,679445
36,400
72,61939
108,171064
144,129491
180,150847
216,173153
252,150226
288,178763
324,123567
360,199386
396,196761
432,41450
468,0
504,0
540,0
576,0
612,0
648,0
684,3
720,0
756,0
792,0
828,0
34,82665
70,0
106,46862
142,0
178,0
214,63065
250,72570
286,156666
322,197469
358,115352
394,174476
430,108767
466,0
502,1430
538,0
574,0
610,0
646,0
682,5573
718,2740
754,1111
790,47349
826,45573
32,138990
68,163494
104,230376
140,219653
176,161333
212,4
248,0
284,0
320,0
356,0
392,130
428,0
464,18124
500,108341
536,51452
572,0
608,0
644,41468
680,96241
716,42623
752,15429
788,165075
824,157736
30,197053
66,215753
102,186009
138,194462
174,215735
210,78539
246,0
282,27381
318,0
354,0
390,149994
426,0
462,6
498,0
534,152282
570,23565
606,4328
642,189004
678,112845
714,14435
750,76130
786,123055
822,126090
28,152269
64,163177
100,236831
136,182044
172,210125
208,225131
244,144954
280,10540
316,0
352,0
388,94458
424,112
460,145782
496,167490
532,53096
568,0
604,49577
640,159788
676,155151
712,214931
748,112927
784,97098
820,0
26,959
62,5847
98,508
134,17
170,29928
206,188999
242,235075
278,140518
314,195348
350,204450
386,24135
422,128310
458,184507
494,0
530,112689
566,145259
602,164123
638,161490
674,145740
710,159744
746,159358
782,130281
818,0
24,0
60,0
96,0
132,0
168,17958
204,221476
240,186508
276,182765
312,155415
348,153063
384,189703
420,153248
456,181843
492,181800
528,216628
564,149750
600,170764
636,145311
672,206357
