id,agbd
33,
103,
173,
243,
313,
383,22.17742443381919
453,
523,
593,
663,
733,14.406257965842467
803,19.2020202020202
873,12.478260869565217
943,28.452247191011235
1013,21.75206611570248
1083,12.0
1153,13.0
1223,17.54061851317595
1293,13.354999302393425
1363,13.0
1433,13.273148148148149
1503,22.225775555970845
1573,14.638297872340425
1643,10.0
1713,13.0
1783,
1853,
1923,
1993,34.43636363636364
2063,
2133,
2203,
2273,
2343,
2413,
2483,
2553,
2623,
2693,45.0
2763,29.0
2833,
2903,
2973,
3043,
3113,
3183,
3253,
29,
99,38.33738022188695
169,14.488028736495624
239,38.71637094198059
309,41.38473952814217
379,46.52840909090909
449,10.498613110494714
519,25.501960784313727
589,51.252230593833644
659,21.438620898995776
729,21.28773100616016
799,
869,
939,
1009,
1079,
1149,
1219,
1289,
1359,
1429,
1499,
1569,
1639,
1709,
1779,38.0
1849,36.48180418888462
1919,33.170890584072424
1989,40.43846698005568
2059,66.28205128205128
2129,
2199,
2269,
2339,
2409,
2479,38.46218487394958
2549,45.37372434462612
2619,51.263440860215056
2689,37.35846943323771
2759,14.511470477623169
2829,30.463636363636365
2899,
2969,57.38405797101449
3039,41.45841101655807
3109,51.371083175272396
3179,41.53308060224843
3249,25.429003021148038
25,
95,57.421933085501855
165,53.39622641509434
235,19.009835549853193
305,22.11519222670734
375,37.39384809293894
445,32.0
515,9.791285145913841
585,13.408496732026144
655,40.508038585209
725,43.26507138134973
795,52.532786885245905
865,
935,
1005,67.72388059701493
1075,33.36704119850187
1145,46.463157894736845
1215,
1285,
1355,
1425,
1495,38.47417840375587
1565,54.895393626601475
1635,
1705,
1775,
1845,
1915,
1985,
2055,
2125,41.401785714285715
2195,
2265,13.0
2335,
2405,56.5
2475,59.36891307717478
2545,107.66514806378132
2615,30.530104081783836
2685,68.0
2755,49.0
2825,31.0
2895,20.0
2965,73.48334655035686
3035,38.61853685368537
3105,43.175349428208385
3175,55.12979534288893
3245,22.97025740239718
21,
91,67.22793050745807
161,51.27576902556567
231,43.01716189508641
301,33.419642857142854
371,14.439024390243903
441,32.493028250894206
511,22.556241715869383
581,53.52236135957066
651,18.771061802558584
721,27.601521362688622
791,20.43851467544959
861,28.20616883116883
931,49.51123085238575
1001,84.55999789573359
1071,57.0
1141,
1211,
1281,
1351,
1421,
1491,44.0
1561,83.41815476190476
1631,
1701,
1771,38.0
1841,49.43718564405672
1911,54.57951620696795
1981,34.94411172181225
2051,36.6
2121,69.37974683544304
2191,
2261,
2331,
2401,56.4
2471,22.30124368695107
2541,19.115412854960013
2611,21.41036717062635
2681,115.65168657987931
2751,169.53776026233658
2821,133.25714285714287
2891,38.57709251101321
2961,28.548076923076923
3031,26.625806451612902
3101,
3171,
3241,
17,
87,
157,89.44117647058823
227,64.42599398596725
297,99.18
367,56.523809523809526
437,
507,
577,
647,
717,75.39199852112745
787,91.5142118863049
857,46.46808510638298
927,54.46067415730337
997,99.69318181818181
1067,53.476965293344676
1137,38.30743848280004
1207,51.349273838096025
1277,49.4026006265559
1347,75.48012888948524
1417,83.5645438898451
1487,
1557,
1627,99.23626358199735
1697,51.36049846768596
1767,78.36363636363636
1837,43.23126474041288
1907,46.65
1977,
2047,30.5
2117,10.006447423638788
2187,36.95134811738068
2257,45.33163511556819
2327,139.62878787878788
2397,99.30150753768844
2467,84.66666666666667
2537,44.45283018867924
2607,42.540917717985934
